interior_point_count,grid_spacing_m,quantum_number_n,normalization,expected_x_m_numeric,expected_x_squared_m2_numeric,p_mean_real_kg_m_s_numeric,p_mean_imaginary_kg_m_s_numeric,p_squared_kg2_m2_s2_numeric,delta_x_m_numeric,delta_p_kg_m_s_numeric,delta_x_delta_p_j_s_numeric,uncertainty_product_over_hbar_numeric,heisenberg_ratio_numeric,delta_x_m_analytical,delta_p_kg_m_s_analytical,delta_x_delta_p_j_s_analytical,uncertainty_product_over_hbar_analytical,relative_delta_x_error,relative_p_squared_error,relative_delta_p_error,relative_uncertainty_error,relative_energy_error,eigenvector_overlap
800,1.2484394506866419e-12,2,1.0000000000000007,4.9999999999997708e-10,3.2066818537482224e-19,0,-1.5757521202916592e-41,4.3904580507254011e-49,2.6583488366812423e-10,6.6260531621210234e-25,1.7614360715312489e-34,1.670285552920274,3.3405711058405481,2.6583488367413546e-10,6.6260701499999992e-25,1.7614405875419113e-34,1.6702898352371223,2.2612626401462324e-11,5.1275814517383684e-06,2.5637940123330201e-06,2.5638166250520802e-06,5.1275838510423963e-06,1.0000000000000002
800,1.2484394506866419e-12,3,0.99999999999999911,5.0000000000009185e-10,3.2770437867942765e-19,0,-3.1515042405833185e-41,9.8784672978867397e-49,2.7875505139698512e-10,9.9390478909635697e-25,2.7705598056826462e-34,2.6271893097490873,5.2543786194981745,2.7875505140990144e-10,9.9391052249999988e-25,2.7705757879632952e-34,2.6272044649811743,4.6335741010288888e-11,1.153702868891996e-05,5.7685309825434638e-06,5.7685773182367468e-06,1.1537028075808708e-05,0.99999999999999922
800,1.2484394506866419e-12,4,1.0000000000000007,4.9999999999992527e-10,3.301670463316465e-19,0,-1.5757521202916592e-41,1.7561562054557641e-48,2.8313785746826794e-10,1.325200439728181e-24,3.752144132206437e-34,3.557978763913265,7.1159575278265299,2.8313785749085251e-10,1.3252140299999998e-24,3.7521826117101832e-34,3.5580152521856636,7.9765256979290559e-11,2.0510199599712736e-05,1.0255152383855238e-05,1.0255232148385502e-05,2.0510201048354836e-05,0.99999999999999978
800,1.2484394506866419e-12,5,0.99999999999999922,5.0000000000002836e-10,3.313069096405383e-19,0,3.1515042405833185e-41,2.7439624133564607e-48,2.8514366491386392e-10,1.6564909940462885e-24,4.7233791293916825e-34,4.4789544442164599,8.9579088884329199,2.8514366494889306e-10,1.6565175374999998e-24,4.7234548169486544e-34,4.4790262151055593,1.2284731766334089e-10,3.2047038982648862e-05,1.6023647869929764e-05,1.6023770715457795e-05,3.2047039427986429e-05,1.0000000000000007
800,1.2484394506866419e-12,6,1.0000000000000002,4.9999999999999052e-10,3.3192609464285059e-19,0,1.5757521202916592e-41,3.9512501583087312e-48,2.8622734782487164e-10,1.987775178009005e-24,5.6895561727362963e-34,5.3951339088840786,10.790267817768157,2.8622734787513615e-10,1.9878210449999998e-24,5.6896874576073163e-34,5.3952584000461066,1.7561043406345978e-10,4.6147475843040322e-05,2.3074004126359563e-05,2.307417973287194e-05,4.6147475368101881e-05,1.0000000000000007
800,1.2484394506866419e-12,7,1.0000000000000007,4.9999999999998587e-10,3.322994436651512e-19,0,-3.1515042405833185e-41,5.3780008688995248e-48,2.8687879612331991e-10,2.3190517175991407e-24,6.6528676489255878e-34,6.308596093317794,12.617192186635588,2.8687879619157963e-10,2.3191245524999997e-24,6.6530765983953582e-34,6.3087942301030502,2.3793922916532248e-10,6.2811423428308169e-05,3.1406204889029093e-05,3.1406442820836285e-05,6.2811424013219222e-05,1
800,1.2484394506866419e-12,8,0.99999999999999967,5.0000000000000117e-10,3.3254176153497635e-19,0,-3.1515042405833185e-41,7.0241925977705432e-48,2.8730082063052862e-10,2.6503193388289161e-24,7.6143892097850761e-34,7.2203609866805243,14.440721973361049,2.8730082071955099e-10,2.6504280599999997e-24,7.6147015689612733e-34,7.2206571819428769,3.0985768287096772e-10,8.2038779199961366e-05,4.1020230929647844e-05,4.1020540774778253e-05,8.2038778846803365e-05,1.0000000000000007
800,1.2484394506866419e-12,9,0.99999999999999856,5.0000000000001099e-10,3.3270789386339818e-19,0,-1.5757521202916592e-41,8.8898000219557961e-48,2.8758980138973495e-10,2.9815767677448448e-24,8.5747107046398784e-34,8.1309879148666724,16.261975829733345,2.8758980150230245e-10,2.9817315675e-24,8.5751558963047408e-34,8.1314100688228219,3.914168494734921e-10,0.00010382942485212773,5.1916060064726124e-05,5.1916451461246258e-05,0.00010382942481395945,1.0000000000000016
800,1.2484394506866419e-12,10,0.99999999999999978,4.9999999999999269e-10,3.3282672733517422e-19,0,-4.7272563608749777e-41,1.0974794443271144e-47,2.8779632960686196e-10,3.3128227304326361e-24,9.5341822245669532e-34,9.0408088524948464,18.081617704989693,2.8779632974574512e-10,3.3130350749999996e-24,9.5347933490391938e-34,9.0413883525933851,4.8257446396642961e-10,0.00012818322630808222,6.4093667153067177e-05,6.4094149696873373e-05,0.00012818322630658204,1.0000000000000007
1600,6.2460961898813248e-13,1,0.99999999999999922,4.9999999999992176e-10,2.8267274151203511e-19,0,0,1.097619788619273e-49,1.807560275955226e-10,3.3130345434650586e-25,5.988509633634898e-35,0.56786171727986001,1.13572343455972,1.80756027595664e-10,3.3130350749999996e-25,5.9885105944210277e-35,0.56786180838661193,7.822488015424555e-13,3.2087489954040509e-07,1.6043746260798673e-07,1.604382449654907e-07,3.2094701503339808e-07,0.99999999999999767
