label,n,l,m,sample_index,radius_over_a,radius_over_n_squared_a,scaled_radial_wavefunction,scaled_radial_probability,cumulative_probability,containment_target,extent_over_a
1s (m=+0),1,0,0,878,4.4088036495053693,4.4088036495053693,0.024339457771138048,0.011514983309557348,0.99278846065511339,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,879,4.4138250659626648,4.4138250659626648,0.024217545559481485,0.011425901721998654,0.99284605852393459,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,880,4.4188464824199603,4.4188464824199603,0.024096243985395026,0.011337479935173089,0.99290321073357313,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,881,4.4238678988772548,4.4238678988772548,0.023975549990298772,0.011249713365208422,0.99295992058565441,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,882,4.4288893153345503,4.4288893153345503,0.023855460530932682,0.011162597456883359,0.99301619135885844,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,883,4.4339107317918458,4.4339107317918458,0.023735972579279934,0.01107612768348352,0.99307202630906299,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,884,4.4389321482491413,4.4389321482491413,0.023617083122490518,0.010990299546657586,0.99312742866948656,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,885,4.4439535647064368,4.4439535647064368,0.023498789162805272,0.010905108576273853,0.99318240165083038,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,886,4.4489749811637322,4.4489749811637322,0.023381087717480306,0.010820550330277073,0.99323694844141985,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,887,4.4539963976210277,4.4539963976210277,0.023263975818711789,0.01073662039454561,0.99329107220734503,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,888,4.4590178140783232,4.4590178140783232,0.02314745051356111,0.010653314382748972,0.99334477609260063,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,889,4.4640392305356187,4.4640392305356187,0.023031508863880425,0.010570627936205619,0.99339806321922519,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,890,4.4690606469929142,4.4690606469929142,0.022916147946238582,0.010488556723741167,0.99345093668743956,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,891,4.4740820634502096,4.4740820634502096,0.022801364851847392,0.010407096441546913,0.9935033995757846,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,892,4.4791034799075051,4.4791034799075051,0.022687156686488293,0.010326242813038696,0.99355545494125841,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,893,4.4841248963647997,4.4841248963647997,0.022573520570439397,0.010245991588716164,0.99360710581945255,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,894,4.4891463128220952,4.4891463128220952,0.022460453638402787,0.010166338546022276,0.99365835522468771,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,895,4.4941677292793907,4.4941677292793907,0.022347953039432402,0.010087279489203387,0.99370920615014868,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,896,4.4991891457366862,4.4991891457366862,0.022236015936862068,0.01000881024916947,0.99375966156801843,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,897,4.5042105621939816,4.5042105621939816,0.022124639508233984,0.0099309266833548324,0.99380972442961202,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,898,4.5092319786512771,4.5092319786512771,0.022013820945227563,0.0098536246755791985,0.99385939766550901,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,899,4.5142533951085726,4.5142533951085726,0.021903557453588622,0.0097769001359091449,0.9939086841856859,0.99950000000000006,6.0256997487544908
