configuration_id,factor_name,factor_value,seed,final_displacement_x_nm,final_displacement_y_nm,final_displacement_nm,total_contacts,total_impulses,total_direction_resets,total_small_wall_impacts,total_large_wall_impacts,maximum_collision_passes,maximum_displacement_nm,maximum_residual_penetration_nm,maximum_normalized_momentum_error,maximum_normalized_restitution_error,maximum_normalized_energy_identity_error
baseline,baseline,1.0,3059,-2.414825193650669,0.5437775682908317,2.4752928634135962,4615,3819,47201,14420,0,10,0.005884979950442926,0.0,4.202354135283487e-16,1.0852316400058007e-15,1.7440693622981556e-15
baseline,baseline,1.0,3060,-1.587361996399851,0.8049940962589446,1.7798127998826945,4200,3604,47203,14677,0,10,0.006085283054679566,0.0,3.9161576423875974e-16,1.0995685616866543e-15,2.014590357978761e-15
baseline,baseline,1.0,3061,-0.6555942822959953,0.32237566302738685,0.7305682248028232,4559,3847,47218,14466,0,10,0.0061913106993433,0.0,4.021003655302874e-16,9.625089296018512e-16,1.795936849200327e-15
baseline,baseline,1.0,3062,-0.784338659261806,-0.2554810213120806,0.8248985905329644,4484,3816,47229,14542,0,10,0.006348287826500298,0.0,3.902806928436382e-16,9.585266815729346e-16,1.8499821625742107e-15
baseline,baseline,1.0,3063,0.9553566385871353,0.20237328606752136,0.9765558119259119,4377,3694,47205,14481,0,10,0.006122643965005501,0.0,3.6244155804459194e-16,9.575557655348245e-16,1.971205598011146e-15
knudsen_30,knudsen_parameter,30.0,3000,0.026069340793585027,0.9800454247463612,0.9803920874301708,4478,3742,23626,14363,0,10,0.007258812795446326,0.0,3.088387784202843e-16,9.686295852502764e-16,1.7700580638564173e-15
knudsen_30,knudsen_parameter,30.0,3001,0.6014673345540764,2.537966061544516,2.6082627712880786,4451,3770,23612,14336,0,10,0.006499686450173573,0.0,4.0811566936233755e-16,1.0729562070693934e-15,1.815177332947292e-15
knudsen_30,knudsen_parameter,30.0,3002,-0.336316296618433,0.4364598897502674,0.5510044344031665,4548,3794,23591,14353,0,10,0.005816684398245028,0.0,4.009648597629679e-16,1.0627831682640774e-15,2.13361790616031e-15
knudsen_30,knudsen_parameter,30.0,3003,-1.1817489965406303,-0.23947235284561863,1.205768509541613,4579,3856,23612,14443,0,10,0.006098903571911283,0.0,3.6412390421893494e-16,1.063631857602232e-15,2.2640131830211693e-15
knudsen_30,knudsen_parameter,30.0,3004,0.4674708147969966,-1.0502928527049384,1.1496277828628036,4478,3722,23602,14527,0,10,0.007272776879524567,0.0,4.211632692434946e-16,8.286402009273037e-16,1.87337330963192e-15
knudsen_30,knudsen_parameter,30.0,3005,0.4348676922370469,1.031681057593353,1.1195872964394131,4737,3783,23588,14389,0,10,0.006476862109054064,0.0,3.902076482800895e-16,1.1163681230575185e-15,2.1265321788597744e-15
knudsen_30,knudsen_parameter,30.0,3006,-0.751526195616556,0.038597274765525214,0.752516692384441,4292,3709,23599,14667,0,10,0.005834747340970806,0.0,3.4071088189844865e-16,1.0881432548453746e-15,1.8673608212552413e-15
knudsen_30,knudsen_parameter,30.0,3007,-1.7429350921990623,0.5192895720185593,1.8186490577420846,4499,3782,23614,14463,0,10,0.005724811652703902,0.0,4.142376277036636e-16,1.0079975139013657e-15,1.994539013712228e-15
knudsen_30,knudsen_parameter,30.0,3008,-0.6421761691505914,1.7074679404683888,1.8242360044556434,4487,3876,23603,14384,0,10,0.00636531701152735,0.0,4.757123600965849e-16,8.328544481725053e-16,1.6360088931759877e-15
knudsen_30,knudsen_parameter,30.0,3009,-1.1338805843464055,0.4106571338332685,1.2059537557990774,4387,3746,23613,14329,0,10,0.006413523322550197,0.0,4.1884987088170605e-16,1.085034095479236e-15,1.8081566306450626e-15
knudsen_30,knudsen_parameter,30.0,3010,-0.11228450731711082,0.6624314561594797,0.671880379750008,4445,3789,23609,14444,0,10,0.006317122072543647,0.0,4.2206226600701046e-16,1.0023768717168113e-15,1.9060650740978164e-15
knudsen_30,knudsen_parameter,30.0,3011,-0.07006283094645216,-1.0748305001781295,1.0771116025711538,4471,3718,23590,14427,0,11,0.006186877849286642,0.0,4.883896222538403e-16,9.115565325375855e-16,1.7968761421340983e-15
knudsen_7.5,knudsen_parameter,7.5,3000,-2.0411683600688986,0.1529073945636732,2.0468876240425624,4101,3629,94441,14418,0,10,0.004310599388497419,0.0,3.661673359348994e-16,1.0024989188103278e-15,2.1171294394556397e-15
knudsen_7.5,knudsen_parameter,7.5,3001,-0.27776336918167477,-0.7870407706167164,0.8346170761924956,4288,3717,94439,14368,0,10,0.004806528244430533,0.0,3.608820174115091e-16,1.0383390561059167e-15,1.9563020958462603e-15
knudsen_7.5,knudsen_parameter,7.5,3002,0.24284974702119477,-0.7470128212033122,0.7854961200861466,4066,3602,94408,14528,0,10,0.004431652676634684,0.0,3.602666887788349e-16,1.0683444632435905e-15,2.028041560682762e-15
knudsen_7.5,knudsen_parameter,7.5,3003,-1.1873158540385953,-0.5350391539444788,1.302300208671189,4040,3660,94432,14336,0,10,0.0045619964077770496,0.0,4.154422634917173e-16,1.116868844677362e-15,1.8150597486861545e-15
knudsen_7.5,knudsen_parameter,7.5,3004,-0.7321209915001354,0.7207287478834026,1.027351485237997,4436,3929,94438,14600,0,10,0.004514613951891015,0.0,3.5588350149034653e-16,9.503301310229165e-16,1.7475338418936327e-15
knudsen_7.5,knudsen_parameter,7.5,3005,0.793062375756346,0.5193228479935996,0.9479684342257833,4250,3742,94394,14551,0,10,0.004881258425124552,0.0,3.6493317459879167e-16,1.1042977287738073e-15,2.222709792473964e-15
knudsen_7.5,knudsen_parameter,7.5,3006,-1.8057162893072736,0.7628784973754374,1.9602537894944712,4089,3622,94399,14837,0,10,0.004339447897383127,0.0,3.6842508765009597e-16,9.470320965080008e-16,1.8957105227420246e-15
knudsen_7.5,knudsen_parameter,7.5,3007,-0.34459189304999693,-0.7264421906068437,0.8040285001475074,4373,3789,94434,14572,0,10,0.005021999979940253,0.0,3.6566783564015834e-16,1.0564975146036613e-15,1.9012661493847225e-15
knudsen_7.5,knudsen_parameter,7.5,3008,-0.0016969052970070564,0.43351675759050146,0.4335200786576887,4480,3936,94420,14368,0,10,0.004888141988706772,0.0,3.823163122655231e-16,1.001180545942285e-15,2.195191490353892e-15
knudsen_7.5,knudsen_parameter,7.5,3009,0.8599365800469272,1.1630926223405034,1.4464699685253455,4283,3752,94428,14422,0,10,0.004560855789708264,0.0,3.702299098259636e-16,1.0669734827382889e-15,2.0189761538276393e-15
knudsen_7.5,knudsen_parameter,7.5,3010,-0.7341359445603004,-1.2161672797042202,1.4205697579909997,4000,3547,94433,14431,0,10,0.004481597756742487,0.0,4.4347360220229945e-16,9.258321197984933e-16,1.816849431423993e-15
knudsen_7.5,knudsen_parameter,7.5,3011,-0.09505690492666918,-0.012027375881248581,0.09581478458373043,4258,3699,94420,14710,0,10,0.004416155833975224,0.0,3.940711870584759e-16,8.882955372498823e-16,1.7978448341516112e-15
mass_ratio_20,mass_ratio,20.0,3000,0.09111558444347523,-0.6673932089732242,0.673584252422853,4344,3772,47228,14387,0,8,0.005616609064702275,0.0,4.1305465089527166e-16,1.2744566829519512e-15,2.262294885267128e-15
mass_ratio_20,mass_ratio,20.0,3001,-0.008376002285070072,0.625297156187445,0.6253532529302023,4426,3782,47212,14388,0,8,0.005384394505171706,0.0,4.68462954460635e-16,1.2561480473790304e-15,2.151614552281201e-15
mass_ratio_20,mass_ratio,20.0,3002,0.5855347101590631,-0.6186594666964647,0.851815961657336,4242,3700,47196,14352,0,8,0.005434454137303953,0.0,3.8359916429354613e-16,1.2624769692821558e-15,2.7131479793561837e-15
mass_ratio_20,mass_ratio,20.0,3003,-1.122159791584087,0.4438948251308492,1.2067664287781579,4049,3581,47223,14265,0,8,0.005355991905225546,0.0,3.9044592570410723e-16,1.1732194043811801e-15,2.5879018115446837e-15
mass_ratio_20,mass_ratio,20.0,3004,0.191892135013628,0.6068716088925576,0.636487031415354,4427,3817,47215,14420,0,8,0.005833385313227123,0.0,4.061152243439863e-16,1.3503598112223098e-15,2.118576225041657e-15
mass_ratio_20,mass_ratio,20.0,3005,0.6510789881321344,1.2218291981644516,1.3844747878796315,4297,3757,47190,14336,0,8,0.005534845189161805,0.0,3.5625780615264465e-16,1.1888756630170795e-15,2.206376569084288e-15
mass_ratio_20,mass_ratio,20.0,3006,0.07363447889404462,0.03946213828573164,0.08354218599055037,4248,3699,47202,14404,0,8,0.005735589679527935,0.0,3.744566291088758e-16,1.1911275745610742e-15,2.3120156327289634e-15
mass_ratio_20,mass_ratio,20.0,3007,-1.558753724749617,0.1420796675552385,1.5652155782362416,4200,3706,47217,14570,0,8,0.005529167646771532,0.0,4.261235236890654e-16,1.34627234223075e-15,2.2738809866131866e-15
mass_ratio_20,mass_ratio,20.0,3008,-0.13663047466827738,-0.10662693571493342,0.17331240586881058,4347,3790,47216,14382,0,8,0.0053249024656316065,0.0,3.665596114455278e-16,1.3071345227630833e-15,2.0049121661644523e-15
mass_ratio_20,mass_ratio,20.0,3009,-1.2798360028764222,-1.5744475380122571,2.0290059744149485,4318,3732,47199,14175,0,9,0.0057088277390417545,0.0,3.96988933213661e-16,1.2006142111258258e-15,2.228996562435542e-15
mass_ratio_20,mass_ratio,20.0,3010,-1.5994740262839242,0.8630249130546748,1.8174512816881603,4418,3805,47216,14377,0,8,0.005689535566442686,0.0,4.386982817835085e-16,1.3370014682360328e-15,2.2414726879790192e-15
mass_ratio_20,mass_ratio,20.0,3011,0.4632136882409341,-0.14235276760880122,0.4845938829779578,4201,3703,47191,14514,0,8,0.005616501540913187,0.0,3.5483309017813606e-16,1.3224807510761575e-15,2.1682075155564485e-15
mass_ratio_5,mass_ratio,5.0,3000,1.0153265292771358,-0.7618213236842308,1.2693540444942648,5040,4109,47228,14378,0,13,0.006211519396762425,0.0,4.17237981575336e-16,1.2219493095004568e-15,2.2776063266781377e-15
mass_ratio_5,mass_ratio,5.0,3001,-0.16598396622411382,0.9313249244241,0.9460004185501417,5083,4097,47212,14198,0,14,0.006110845209185365,0.0,3.3659632329380323e-16,1.1383823075253228e-15,2.0071026124283913e-15
mass_ratio_5,mass_ratio,5.0,3002,1.6100897746837646,-0.8959569428250536,1.8425872912667212,4983,4025,47196,14378,0,13,0.006699694177371912,0.0,3.697831937434683e-16,1.1556350752207449e-15,2.512813433741929e-15
mass_ratio_5,mass_ratio,5.0,3003,-1.2422233873577602,0.19616571360746882,1.2576167664649336,4868,3950,47223,14302,0,14,0.006208336702532139,0.0,4.058938897058307e-16,1.2479516218842507e-15,2.1661925992989288e-15
mass_ratio_5,mass_ratio,5.0,3004,0.49183565303179577,1.590790205318763,1.6650873211130175,5257,4142,47215,14459,0,14,0.006497958154216179,0.0,3.7735008278494843e-16,1.3169138282210972e-15,2.328533897195078e-15
mass_ratio_5,mass_ratio,5.0,3005,0.6684599137001559,0.6055101913567302,0.9019319531211232,5051,4005,47190,14247,0,14,0.006565515391611989,0.0,3.5614491173335505e-16,1.1990717315083818e-15,2.237058697299948e-15
mass_ratio_5,mass_ratio,5.0,3006,-0.0726327181422759,0.24183274683484157,0.2525046320098304,5214,4015,47202,14441,0,14,0.005994634640622161,0.0,3.9221265857682253e-16,1.220337237789415e-15,2.3272775154634253e-15
