energy_index,angle_index,incident_energy_kev,theta_deg,scattered_to_incident_energy_ratio,differential_cross_section_m2_sr,differential_cross_section_barn_sr,relative_differential_cross_section,theta_density_m2_rad,theta_pdf_rad_inv,total_cross_section_m2,total_cross_section_barn
3,127,500,31.75,0.87227557100216091,5.2618635868166914e-30,0.052618635868166917,0.66263748872357675,1.7397297438264173e-29,0.60163637330914488,2.8916631723203253e-29,0.28916631723203257
3,128,500,32,0.87056354269407499,5.231085671296355e-30,0.052310856712963552,0.65876156143811082,1.7417323120612436e-29,0.60232890494768265,2.8916631723203253e-29,0.28916631723203257
3,129,500,32.25,0.86884629562450733,5.200347212911595e-30,0.052003472129115949,0.6548906030722681,1.7435718342776566e-29,0.60296505172785442,2.8916631723203253e-29,0.28916631723203257
3,130,500,32.5,0.86712396368871714,5.1696516885019179e-30,0.051696516885019181,0.65102505147172063,1.7452501151144099e-29,0.60354543773298053,2.8916631723203253e-29,0.28916631723203257
3,131,500,32.75,0.86539668010933046,5.1390025227027744e-30,0.051390025227027743,0.6471653379079747,1.7467689781226091e-29,0.60407069358668375,2.8916631723203253e-29,0.28916631723203257
3,132,500,33,0.86366457742014324,5.1084030876982952e-30,0.051084030876982954,0.64331188704723219,1.7481302648233387e-29,0.60454145612699628,2.8916631723203253e-29,0.28916631723203257
3,133,500,33.25,0.8619277874503396,5.0778567030000409e-30,0.050778567030000409,0.63946511692252794,1.749335833772801e-29,0.60495836808306436,2.8916631723203253e-29,0.28916631723203257
3,134,500,33.5,0.86018644130912547,5.0473666352513644e-30,0.050473666352513644,0.63562543890909284,1.7503875596353801e-29,0.60532207775459401,2.8916631723203253e-29,0.28916631723203257
3,135,500,33.75,0.85844066937077712,5.0169360980569842e-30,0.050169360980569844,0.63179325770289163,1.7512873322650248e-29,0.60563323869417285,2.8916631723203253e-29,0.28916631723203257
3,136,500,34,0.85669060126010199,4.98656825183736e-30,0.049865682518373602,0.62796897130228402,1.7520370557953324e-29,0.60589250939260142,2.8916631723203253e-29,0.28916631723203257
3,137,500,34.25,0.85493636583831079,4.9562662037074276e-30,0.049562662037074275,0.62415297099275358,1.7526386477386863e-29,0.60610055296735543,2.8916631723203253e-29,0.28916631723203257
3,138,500,34.5,0.85317809118930032,4.926033007379294e-30,0.049260330073792942,0.62034564133465409,1.7530940380948214e-29,0.60625803685430812,2.8916631723203253e-29,0.28916631723203257
3,139,500,34.75,0.8514159046063432,4.8958716630884242e-30,0.04895871663088424,0.61654736015391365,1.7534051684691203e-29,0.60636563250281839,2.8916631723203253e-29,0.28916631723203257
3,140,500,35,0.84964993257918497,4.8657851175429296e-30,0.048657851175429298,0.61275849853564901,1.753573991201e-29,0.60642401507430721,2.8916631723203253e-29,0.28916631723203257
3,141,500,35.25,0.8478803007815443,4.8357762638954339e-30,0.048357762638954339,0.60897942082062217,1.7536024685026558e-29,0.60643386314441727,2.8916631723203253e-29,0.28916631723203257
3,142,500,35.5,0.84610713405901472,4.805847941737139e-30,0.048058479417371389,0.60521048460449345,1.7534925716084828e-29,0.60639585840886412,2.8916631723203253e-29,0.28916631723203257
3,143,500,35.75,0.84433055641736621,4.7760029371135767e-30,0.04776002937113577,0.60145204073980463,1.7532462799354337e-29,0.60631068539306932,2.8916631723203253e-29,0.28916631723203257
3,144,500,36,0.84255069101124369,4.7462439825616374e-30,0.047462439825616376,0.59770443334064238,1.7528655802545968e-29,0.60617903116567484,2.8916631723203253e-29,0.28916631723203257
3,145,500,36.25,0.84076766013325799,4.7165737571673559e-30,0.047165737571673562,0.59396799978991566,1.7523524658742137e-29,0.6060015850560122,2.8916631723203253e-29,0.28916631723203257
3,146,500,36.5,0.83898158520347033,4.6869948866440343e-30,0.046869948866440345,0.59024307074919324,1.7517089358344041e-29,0.60577903837562097,2.8916631723203253e-29,0.28916631723203257
3,147,500,36.75,0.83719258675926178,4.6575099434301834e-30,0.046575099434301832,0.58652997017103792,1.7509369941137847e-29,0.60551208414388025,2.8916631723203253e-29,0.28916631723203257
3,148,500,37,0.83540078444559052,4.6281214468068658e-30,0.046281214468068661,0.58282901531378406,1.750038648848224e-29,0.60520141681783768,2.8916631723203253e-29,0.28916631723203257
3,149,500,37.25,0.83360629700562916,4.5988318630339149e-30,0.045988318630339149,0.5791405167586916,1.7490159115618974e-29,0.6048477320262905,2.8916631723203253e-29,0.28916631723203257
3,150,500,37.5,0.83180924227178032,4.5696436055045819e-30,0.045696436055045822,0.57546477842942123,1.7478707964108412e-29,0.60445172630819122,2.8916631723203253e-29,0.28916631723203257
3,151,500,37.75,0.83000973715706861,4.5405590349181279e-30,0.045405590349181284,0.57180209761376921,1.7466053194391654e-29,0.60401409685542873,2.8916631723203253e-29,0.28916631723203257
